World_bank_region;Country_Region;Province_State;World_Bank_Name;Health_exp_pct_GDP_2016;Health_exp_public_pct_2016;Health_exp_out_of_pocket_pct_2016;Health_exp_per_capita_USD_2016;per_capita_exp_PPP_2016;External_health_exp_pct_2016;Physicians_per_1000_2009-18;Nurse_midwife_per_1000_2009-18;Specialist_surgical_per_1000_2008-18;Completeness_of_birth_reg_2009-18;Completeness_of_death_reg_2008-16
South_Asia;Afghanistan;;Afghanistan;10.2;5.1;77.4;57.2;162.8;17.5;0.3;0.3;0;42.3;NaN
Europe_and_Central_Asia;Albania;;Albania;6.7;41.4;58;271.5;759.7;0.7;1.2;3.6;11.6;98.4;53
Middle_East_and_North_Africa;Algeria;;Algeria;6.6;67.7;30.9;260.4;998.2;0;1.8;2.2;12.1;100;NaN
Europe_and_Central_Asia;Andorra;;Andorra;10.4;49.1;41.7;3834.7;4978.7;NaN;3.3;4;83.1;100;80
Sub_Saharan_Africa;Angola;;Angola;2.9;44.1;35.2;95.2;185.8;3.6;0.2;1.3;NaN;25;NaN
Latin_america_and_caribbean;Antigua and Barbuda;;Antigua and Barbuda;4.3;60.6;32.2;623.1;976.4;0;2.8;3.1;14;NaN;79
Latin_america_and_caribbean;Argentina;;Argentina;7.5;74.4;15.8;955.2;1531;0.6;4;2.6;50.1;100;100
Europe_and_Central_Asia;Armenia;;Armenia;9.9;16.5;80.6;358.8;876.9;1.7;2.9;5.6;86.7;99.3;76
East_Asia_and_Pacific;Australia;;Australia;9.3;68.3;18.9;5002.4;4529.9;0;3.6;12.7;45.1;100;100
Europe_and_Central_Asia;Austria;;Austria;10.4;72.5;18.9;4688.3;5295.2;NaN;5.1;8.2;109.9;100;100
Europe_and_Central_Asia;Azerbaijan;;Azerbaijan;6.9;20;78.9;268.2;1193.1;0.4;3.4;7;67.6;NaN;NaN
Latin_america_and_caribbean;Bahamas;;Bahamas, The;6.4;49.9;27.7;1835.2;1435.6;0.4;1.9;3.1;NaN;NaN;93
Middle_East_and_North_Africa;Bahrain;;Bahrain;4.9;61.4;28;1099.4;1866.3;0;0.9;2.5;14.4;NaN;88
South_Asia;Bangladesh;;Bangladesh;2.4;18;71.9;34.2;90.6;7.6;0.5;0.3;2.9;20.2;NaN
Latin_america_and_caribbean;Barbados;;Barbados;7;45.9;45.2;1163.8;1323;1.7;2.5;6;17.2;99;100
Europe_and_Central_Asia;Belarus;;Belarus;6.3;61.4;35.8;318;1151.4;0.2;4.1;11.4;124.2;100;100
Europe_and_Central_Asia;Belgium;;Belgium;10;84.1;15.9;4149.4;4667.9;0;3.3;11.1;89.8;100;100
Latin_america_and_caribbean;Belize;;Belize;6.1;66.3;22.9;303.6;541.4;3.8;1.1;1.7;10.5;96;100
Sub_Saharan_Africa;Benin;;Benin;3.9;20.5;43.5;30.4;83.5;30.5;0.2;0.6;1.9;85.6;NaN
South_Asia;Bhutan;;Bhutan;3.5;74;20.1;91.3;293.1;4.8;0.4;1.5;2.9;100;NaN
Latin_america_and_caribbean;Bolivia;;Bolivia;6.9;65.7;28;213;496.3;3.2;1.6;0.7;33.9;92;NaN
Europe_and_Central_Asia;Bosnia and Herzegovina;;Bosnia and Herzegovina;9.2;70.8;28.7;443.8;1123.4;0.2;2;6.3;32.3;NaN;89
Sub_Saharan_Africa;Botswana;;Botswana;5.5;55.9;5.2;379.9;931.3;6.7;0.4;3.3;3.6;88;NaN
Latin_america_and_caribbean;Brazil;;Brazil;11.8;33.2;43.6;1015.9;1777.5;0.1;2.1;9.7;55.5;96;93
East_Asia_and_Pacific;Brunei;;Brunei Darussalam;2.3;94.9;5.1;630.6;1812.4;0;1.8;6.6;NaN;NaN;89
Europe_and_Central_Asia;Bulgaria;;Bulgaria;8.2;50.6;48;612.5;1577.9;NaN;4;5.3;112.7;100;100
Sub_Saharan_Africa;Burkina Faso;;Burkina Faso;6.8;40.1;31.4;40.9;115.6;23.5;0.1;0.6;0.6;76.9;NaN
Sub_Saharan_Africa;Burundi;;Burundi;6.2;29.1;30.5;18.5;50.3;38.6;0.1;0.7;0.4;83.5;NaN
Sub_Saharan_Africa;Cabo Verde;;Cabo Verde;5.2;56.8;26;159.1;347.6;15.1;0.8;1.2;16;91;NaN
East_Asia_and_Pacific;Cambodia;;Cambodia;6.1;21.8;58.6;77.7;228.6;18.9;0.2;1;4.2;73.3;NaN
Sub_Saharan_Africa;Cameroon;;Cameroon;4.7;13.3;69.5;64.5;169.3;9.3;0.1;0.9;1.2;66;NaN
North_America;Canada;;Canada;10.5;73.4;14.6;4458.2;4718.3;NaN;2.6;9.9;43.9;100;100
Europe_and_Central_Asia;United Kingdom;Cayman Islands;Cayman Islands;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;156.8;NaN;NaN
Sub_Saharan_Africa;Central African Republic;;Central African Republic;4.3;14.9;43.1;16.4;29.9;40.9;0.1;0.2;0.4;61;NaN
Sub_Saharan_Africa;Chad;;Chad;4.5;18.9;61.2;31.7;95;14.6;0;0.4;0.3;12;NaN
Europe_and_Central_Asia;United Kingdom;Channel Islands;Channel Islands;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;38.7;NaN;NaN
Latin_america_and_caribbean;Chile;;Chile;8.5;58.5;34.8;1190.5;2002;0;1.1;0.9;59.3;99;100
East_Asia_and_Pacific;China;;China;5;58;35.9;398.3;761.5;0;1.8;2.3;40.1;NaN;4
East_Asia_and_Pacific;China;Hong Kong;Hong Kong SAR, China;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;27.8;NaN;NaN
East_Asia_and_Pacific;China;Macau;Macao SAR, China;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Latin_america_and_caribbean;Colombia;;Colombia;5.9;62.3;20.2;340.4;829.8;2.1;2.1;1.3;22.7;96.8;98
Sub_Saharan_Africa;Comoros;;Comoros;7.6;14.6;73.1;59;115.8;10.8;0.2;0.9;NaN;87.3;NaN
Sub_Saharan_Africa;Congo (Kinshasa);;Congo, Dem. Rep.;3.9;12.3;37.4;20.5;34.5;43.4;0.1;0.5;0.2;24.6;NaN
Sub_Saharan_Africa;Congo (Brazzaville);;Congo, Rep.;4.6;42.3;49.7;70.4;263.3;3.3;0.1;1.7;0.2;96;NaN
Latin_america_and_caribbean;Costa Rica;;Costa Rica;7.6;74.8;22.1;888.9;1248.5;0.3;1.1;0.8;25.5;100;91
Sub_Saharan_Africa;Cote d'Ivoire;;Cote d'Ivoire;4.4;25.8;40.1;67.6;162.6;15;0.2;0.9;2.8;72;NaN
Europe_and_Central_Asia;Croatia;;Croatia;7.2;78.2;15.4;884.5;1705.2;NaN;3;8.1;81.2;100;100
Latin_america_and_caribbean;Cuba;;Cuba;12.2;89.6;10.3;970.6;2457.7;0.1;8.2;7.8;100.9;100;98
Europe_and_Central_Asia;Cyprus;;Cyprus;6.9;42.2;44.9;1634.4;2270.8;1.2;2;5.3;84.4;100;86
Europe_and_Central_Asia;Czechia;;Czech Republic;7.1;81.9;15;1321.6;2484.6;NaN;4.3;8.4;124.5;100;100
Europe_and_Central_Asia;Denmark;;Denmark;10.4;84.1;13.7;5565.6;5093;NaN;4.5;10.3;69;100;98
Middle_East_and_North_Africa;Djibouti;;Djibouti;3.5;45.8;25.8;70.2;122.1;27.8;0.2;0.5;4.4;NaN;NaN
Latin_america_and_caribbean;Dominica;;Dominica;5.3;64.3;29.1;419.4;580.7;5.4;1.1;5.9;11.3;NaN;100
Latin_america_and_caribbean;Dominican Republic;;Dominican Republic;6.2;45.7;44.6;414.2;936.8;0.6;1.6;0.3;NaN;88;56.9
Latin_america_and_caribbean;Ecuador;;Ecuador;8.4;51.2;40.5;504.8;942.9;0.4;2.1;1.2;59.4;82;80
Middle_East_and_North_Africa;Egypt;;Egypt, Arab Rep.;4.6;29.3;62;131;516.3;1;0.8;1.4;50.1;99.4;95
Latin_america_and_caribbean;El Salvador;;El Salvador;7;64.5;27.2;293.9;599.5;2.3;1.6;2.3;22.3;99;78
Sub_Saharan_Africa;Equatorial Guinea;;Equatorial Guinea;3.4;23.5;72.8;281.4;838.7;1.2;0.4;0.5;NaN;54;NaN
Sub_Saharan_Africa;Eritrea;;Eritrea;3;29.2;59.1;29.9;55.3;11.7;NaN;NaN;0.4;NaN;NaN
Europe_and_Central_Asia;Estonia;;Estonia;6.7;75.4;22.7;1185.3;1987.7;0.2;3.5;6.5;65;100;100
Sub_Saharan_Africa;Eswatini;;Eswatini;7.7;69.3;9.9;220.6;663.3;13.8;0.1;2;0.2;54;NaN
Sub_Saharan_Africa;Ethiopia;;Ethiopia;4;27.6;37.4;27.5;69.5;15.3;0.1;0.8;0.5;2.7;NaN
Europe_and_Central_Asia;Denmark;Faroe Islands;Faroe Islands;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
East_Asia_and_Pacific;Fiji;;Fiji;3.5;63.9;20.6;179.9;313.2;3.1;0.8;2.9;5.4;NaN;100
Europe_and_Central_Asia;Finland;;Finland;9.5;77.4;20.4;4117.3;4112.1;0;3.8;14.7;76.3;100;100
Europe_and_Central_Asia;France;;France;11.5;82.9;9.8;4263.4;4782.3;0;3.2;9.7;58.6;100;100
East_Asia_and_Pacific;France;French Polynesia;French Polynesia;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;32.6;NaN;NaN
Sub_Saharan_Africa;Gabon;;Gabon;3.1;64.6;22.5;220.4;555.6;0.9;0.4;2.6;NaN;89.6;NaN
Sub_Saharan_Africa;Gambia;;Gambia, The;4.4;18.6;23.6;20.9;74.3;43.8;0.1;1.6;1.8;72;NaN
Europe_and_Central_Asia;Georgia;;Georgia;8.4;36.6;55.6;308;797.2;2.3;5.1;4.1;130.4;100;98
Europe_and_Central_Asia;Germany;;Germany;11.1;84.7;12.4;4714.3;5463.3;NaN;4.2;13.2;108;100;100
Sub_Saharan_Africa;Ghana;;Ghana;4.4;38.4;37.8;67.5;189.4;12.8;0.2;1.2;NaN;70.5;NaN
Europe_and_Central_Asia;Greece;;Greece;8.5;60.7;34.3;1510.7;2261.2;0.3;4.6;3.4;163.5;100;100
Europe_and_Central_Asia;Denmark;Greenland;Greenland;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Latin_america_and_caribbean;Grenada;;Grenada;5.2;41.3;57.8;516.4;745.1;0.9;1.4;3.1;12.6;NaN;100
East_Asia_and_Pacific;US;Guam;Guam;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Latin_america_and_caribbean;Guatemala;;Guatemala;5.8;37.2;53.3;241.4;462.4;0.9;0.4;0.9;3.4;96;92
Sub_Saharan_Africa;Guinea;;Guinea;5.5;12.3;49.8;37.5;107.7;27.2;0.1;0.4;NaN;62;NaN
Sub_Saharan_Africa;Guinea-Bissau;;Guinea-Bissau;6.1;44.3;35.4;39.1;98;20.3;0.2;1.4;NaN;24;NaN
Latin_america_and_caribbean;Guyana;;Guyana;4.2;58.9;35.1;192.3;332.7;5.9;0.8;1.3;8.8;89;81
Latin_america_and_caribbean;Haiti;;Haiti;5.4;15.3;41.7;37.7;95.4;38.4;0.2;0.7;5.9;84.8;NaN
Latin_america_and_caribbean;Honduras;;Honduras;8.4;45.9;45;199.6;400.3;3.1;0.3;0.9;13.7;93.6;17
Europe_and_Central_Asia;Hungary;;Hungary;7.4;65.9;29.7;942.6;1963.2;0;3.2;6.6;55.7;100;100
Europe_and_Central_Asia;Iceland;;Iceland;8.3;81.5;16.9;5063.6;4245.1;0;4;15.7;101.6;100;100
South_Asia;India;;India;3.7;25.4;64.6;62.7;241.5;1;0.8;2.1;6.8;79.7;NaN
East_Asia_and_Pacific;Indonesia;;Indonesia;3.1;44.7;37.3;111.6;362.7;0.4;0.4;2.1;NaN;72;NaN
Middle_East_and_North_Africa;Iran;;Iran, Islamic Rep.;8.1;54.5;38.8;415.4;1563.8;0;1.1;1.9;5;99;NaN
Middle_East_and_North_Africa;Iraq;;Iraq;3.3;21.1;78.5;152.6;493.7;0.4;0.8;1.7;7.6;99;65
Europe_and_Central_Asia;Ireland;;Ireland;7.4;72.1;13;4758.6;5299.7;0;3.1;14.3;72;100;100
Europe_and_Central_Asia;United Kingdom;Isle of Man;Isle of Man;NaN;NaN;NaN;NaN;NaN;NaN;1.4;2.3;52.4;85.4;NaN
Middle_East_and_North_Africa;Israel;;Israel;7.3;62.5;23;2837.1;2843;1.5;3.2;5.2;75.6;100;100
Europe_and_Central_Asia;Italy;;Italy;8.9;74.5;23.1;2738.7;3427.3;NaN;4.1;5.9;142.4;100;100
Latin_america_and_caribbean;Jamaica;;Jamaica;6.1;60.6;22.4;296.2;535.7;1.2;1.3;1.1;11.2;98;NaN
East_Asia_and_Pacific;Japan;;Japan;10.9;83.6;13.5;4233;4592.4;0;2.4;11.5;37.4;100;100
Middle_East_and_North_Africa;Jordan;;Jordan;5.5;63.2;28;223.5;494.8;5.7;2.3;3.4;24.5;98;65
Europe_and_Central_Asia;Kazakhstan;;Kazakhstan;3.5;58.8;35.6;262;858.8;1.2;3.3;8.5;73.2;100;91
Sub_Saharan_Africa;Kenya;;Kenya;4.5;36.2;27.7;66.2;143.5;19.5;0.2;1.5;2.4;66.9;NaN
East_Asia_and_Pacific;;;Kiribati;11.9;79.6;0.1;188;249.8;17;0.2;4.8;8.2;94;NaN
East_Asia_and_Pacific;;;Korea, Dem. People's Rep.;NaN;NaN;NaN;NaN;NaN;NaN;3.7;4.4;NaN;100;NaN
East_Asia_and_Pacific;Korea, South;;Korea, Rep.;7.3;59.2;33.3;2043.9;2711.7;0;2.4;7;49.6;NaN;99
Europe_and_Central_Asia;;;Kosovo;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;27.7;NaN;NaN
Middle_East_and_North_Africa;Kuwait;;Kuwait;3.9;83.9;16.1;1068.3;2899.3;0;2.6;7;NaN;NaN;95
